"Rank","Country","Forexres","Date","Change","newdate"
"1","China[b]","3,101,692","May 2020[1]","10,241","May 2020"
"2","Japan","1,378,239","May 2020[2]","9,672","May 2020"
"3","Switzerland","848,398[c]","May 2020[3][4]","15,911","May 2020"
"4","Russia","569,800","03 July 2020[5]","1,500","03 July 2020"
"5","India","513,254","03 July 2020[6][d]","6,416","03 July 2020"
"6","Taiwan[e]","488,690","June 2020[7]","4,170","June 2020"
"7","Saudi Arabia","445,000[f]","May 2020[8]","800","May 2020"
"8","Hong Kong","442,300","May  2020[9]","1,100","May  2020"
"9","South Korea","410,800","June 2020[10]","3,500","June 2020"
"10","Brazil","345,706","May 2020[11]","6,389","May 2020"
"11","Singapore","300,991","May 2020[12]","982","May 2020"
"12","Germany","245,055","April 2020[13]","10,628","April 2020"
"13","France","237,831","April 2020[14]","40,565","April 2020"
"14","Thailand","241,000","July 2020 [15]","1,537","July 2020 "
"15","Mexico","196,146","April 2020[16]","6,366","April 2020"
"16","Italy","190,217","April 2020[17]","8,823","April 2020"
"17","United Kingdom","179,225","May 2020[18]","849","May 2020"
"18","Czech Republic","146,804","March 2020[19]","183","March 2020"
"19","Israel","142,510","May 2020[20]","8,971","May 2020"
"20","Indonesia","130,544","May 2020[21]","3,336","May 2020"
"21","United States[g]","129,264","March 2020[22]","1,739","March 2020"
"22","Poland","112,943","March 2020[23]","458","March 2020"
"23","United Arab Emirates","106,463","March 2020[24]","3,092","March 2020"
"24","Malaysia","102,484","April 2020[25]","781","April 2020"
"25","Philippines","88,996","March 2020[26]","809","March 2020"
"26","Canada","87,322","May  2020[27]","1,222","May  2020"
"27","Turkey","86,343","April 2020[28]","5,802","April 2020"
"28","Iran[h]","86,000","February 2020[29]","N/A","February 2020"
"29","Vietnam","81,145","January 2020[30]","3,191","January 2020"
"-","Europe (ECB)[i]","79,240","April 2020[31]","3,900","April 2020"
"30","Spain","74,037","March  2020[32]","420","March  2020"
"31","Libya[j]","71,629","September 2017[33]","N/A","September 2017"
"32 +2","Norway","69,139","March 2020[34][35]","4,931","March 2020"
"33","Peru","68,150","March 2020[36][37]","1,933","March 2020"
"34   -3","Algeria","62,000","February 2020[38]","10,600","February 2020"
"35 +2","Australia","55,922","March 2020[39]","1,383","March 2020"
"36 +4","Colombia","55,000","May 2020[40]","2,430","May 2020"
"37","Sweden","54,648","March 2020[41]","1,455","March 2020"
"38   -3","Denmark","54,251","March 2020[42]","8,313","March 2020"
"39","Lebanon","53,100","31 December 2017[29]","","31 December 2017"
"40","South Africa","53,003","April 2020[43]","576","April 2020"
"41","Azerbaijan","47,500","April 2019[44]","","April 2019"
"42","Iraq","47,020","31 December 2017[29]","","31 December 2017"
"43","Netherlands","44,859","March 2020[45]","80","March 2020"
"44","Romania","42,654","March 2020[46]","1,910","March 2020"
"45","Kuwait","40,600","February 2020[47]","203","February 2020"
"46","Argentina","39,189","February 2020[48]","317","February 2020"
"47","Qatar","37,729","February 2020[49][50]","430","February 2020"
"48","Bulgaria","36,991","March 2020[51]","300","March 2020"
"49","Chile","36,777","March 2020[52]","1,879","March 2020"
"50","Nigeria","36,563","June 2020[53][k]","2,673","June 2020"
"51","Egypt","36,254","April 2020[54]","3,039","April 2020"
"52","Bangladesh","35,090","24 June 2020[55]","760","24 June 2020"
"53","Kazakhstan","29,967","March 2020[51]","76","March 2020"
"54","Belgium","29,676","March 2020[51]","46","March 2020"
"55 +3","Ukraine","28,500","July 2020[51]","3,100","July 2020"
"56","Hungary","28,209","March 2020[51]","988","March 2020"
"57","Portugal","27,053","March 2020[51]","1,671","March 2020"
"58","Austria","26,443","March 2020[51]","557","March 2020"
"59","Morocco","24,644","February 2020[51]","326","February 2020"
"60 +3","New Zealand","23,897","March 2020[51]","4,959","March 2020"
"61","Macau, China","22,430","April 2020[56]","391","April 2020"
"62","Croatia","21,304","February 2020[51]","430","February 2020"
"63","Turkmenistan","20,600","December 2017[29]","N/A","December 2017"
"64","Jordan","17,267","March 2020[51]","129","March 2020"
"65","Angola","17,012","June 2019[57][58][l]","","June 2019"
"66","Uzbekistan","16,000","31 December 2017[29]","N/A","31 December 2017"
"67","Oman","15,867","February 2020[51]","469","February 2020"
"68 +3","Uruguay","15,340","April 2020[59]","1,100","April 2020"
"69","Guatemala","14,511","September 2019[51]","","September 2019"
"70","Serbia","14,515","September 2019[m]","","September 2019"
"71","Cambodia","13,886","2018[60]","","2018"
"72","Cuba","12,800","31 December 2017[29]","","31 December 2017"
"73","Kenya","12,766","January 2020[60]","","January 2020"
"74","Pakistan","12,042","03 July 2020 [61]","812","03 July 2020 "
"75","Finland","11,463","May 2020[62]","394","May 2020"
"76","Greece","9,798","April 2020[63]","670","April 2020"
"77 +4","Paraguay","8,541","April 2020[64]","800","April 2020"
"78   -1","Nepal","8,180","April 2020[65]","490","April 2020"
"79","North Korea","8,000","November 2013[66]","","November 2013"
"80","Belarus","7,883","April 2020[62]","1311","April 2020"
"81","Afghanistan","7,800","30 March 2019[67]","","30 March 2019"
"82","Dominican Republic","7,591","September 2019[62]","","September 2019"
"83","Ghana","7,555","31 December 2017[29]","","31 December 2017"
"84","Sri Lanka","7,525","24 April 2020[68]","","24 April 2020"
"85","Slovakia","7,524","April 2020[62]","","April 2020"
"86","Costa Rica","7,482","September 2019[62]","","September 2019"
"87","Botswana","7,476","31 December 2017[29]","","31 December 2017"
"88","Mauritius","7,217","September 2019[62]","","September 2019"
"89","Trinidad and Tobago","7,103","October 2019[69]","","October 2019"
"90","Iceland","6,776","October 2019[62]","","October 2019"
"91 -12","Bolivia","6,467","January 2020[70]","2,000","January 2020"
"92 -14","Venezuela","6,330","May 2020[71]","2,200","May 2020"
"93","Ireland","5,644","October 2019[62]","","October 2019"
"94","Tunisia","5,540","October 2019[62]","","October 2019"
"95 +5","Ecuador","5,377","April 2020[72]","431","April 2020"
"96","Bosnia and Herzegovina","5,370","31 December 2017[29]","","31 December 2017"
"97","Myanmar","5,032","31 December 2017[29][n]","","31 December 2017"
"98","Honduras","5,005","July 2019[62]","","July 2019"
"99","El Salvador","4,735","September 2019[62]","","September 2019"
"100","Ivory Coast","4,688","31 December 2017[29]","","31 December 2017"
"101","Latvia","4,498","September 2019[62]","","September 2019"
"102","Lithuania","4,481","October 2019[62]","","October 2019"
"103","Tanzania","4,174","31 December 2017[29]","","31 December 2017"
"104","Mongolia","3,986","September 2019[62]","","September 2019"
"105","Panama","3,888","31 December 2017[29]","","31 December 2017"
"106","Albania","3,724","October 2019[62]","","October 2019"
"107","Jamaica","3,605","March 2019[62]","","March 2019"
"108","North Macedonia","3,420","September 2019[62]","","September 2019"
"109","Bahrain","3,415","29 February 2020[citation needed]","","29 February 2020"
"110","Brunei","3,407","2018[60]","","2018"
"111","Georgia","3,387","October 2019[62]","","October 2019"
"112","Ethiopia","3,147","31 December 2017[29]","","31 December 2017"
"113","Uganda","3,045","31 December 2017[29]","","31 December 2017"
"114","Moldova","2,942","September 2019[62]","","September 2019"
"115","Armenia","2,840","December 2019[73]","","December 2019"
"116","Zambia","2,426","31 December 2017[29]","","31 December 2017"
"117","Cameroon","2,357","31 December 2017[29]","","31 December 2017"
"118","Kyrgyzstan","2,203","September 2019[62]","","September 2019"
"119","Nicaragua","2,201","August 2019[62]","","August 2019"
"120","Mozambique","2,193","31 December 2017[29]","","31 December 2017"
"121","Haiti","2,044","31 December 2017[29]","","31 December 2017"
"122","Namibia","1,949","31 December 2017[29]","","31 December 2017"
"123","Papua New Guinea","1,800","31 December 2017[29]","","31 December 2017"
"124","Madagascar","1,740","2018[60]","","2018"
"125","Bahamas","1,414","2017[60]","","2017"
"126","Estonia","1,352","October 2019[62]","","October 2019"
"127","Tajikistan","1,284","2018[60]","","2018"
"128","Montenegro","1,261","2018[60]","","2018"
"129","Guinea","1,225","2018[60]","","2018"
"130","Luxembourg","1,070","October 2019[62]","","October 2019"
"131","Curaçao","1,055","31 October 2019[74][o]","","31 October 2019"
"132","Niger","1,039","2015[60][failed verification]","","2015"
"133","Cyprus","1,034","October 2019[62]","","October 2019"
"134","Rwanda","1,026","31 December 2017[29]","","31 December 2017"
"135","Slovenia","1,022","October 2019[62]","","October 2019"
"136","Laos","990","31 December 2017[29]","","31 December 2017"
"137","Aruba","980","2018[60]","","2018"
"138","Bhutan","987","2018[60]","","2018"
"139","Lesotho","983","31 December 2017[29]","","31 December 2017"
"140","Fiji","967","31 December 2017[29]","","31 December 2017"
"141","Mauritania","934","2018[60]","","2018"
"142","Malta","890","October 2019[62]","","October 2019"
"143","Kosovo","881","2018[60]","","2018"
"144","Gabon","835","31 December 2017[29]","","31 December 2017"
"145","Republic of the Congo","813","31 December 2017[29]","","31 December 2017"
"146","Malawi","760","2018[60]","","2018"
"147","Maldives","722","2018[60]","","2018"
"148","Timor-Leste","674","2018[60]","","2018"
"149","Palestine","632","August 2019[62][p]","","August 2019"
"150","Mali","624","2015[60][failed verification]","","2015"
"151","Solomon Islands","617","2018[60]","","2018"
"152","Cape Verde","606","2018[60]","","2018"
"153","Seychelles","535","September 2019[62]","","September 2019"
"154","Guyana","518","2018[60]","","2018"
"155","Sierra Leone","503","2018[60]","","2018"
"156","Suriname","581","2018[60]","","2018"
"157","Liberia","475","2017[60]","","2017"
"158","Djibouti","454","2018[60]","","2018"
"159","Democratic Republic of the Congo","445","31 December 2017[29]","","31 December 2017"
"160","Eswatini","441","2018[60]","","2018"
"161","Vanuatu","421","2018[60]","","2018"
"162","Equatorial Guinea","416","31 December 2017[29]","","31 December 2017"
"163","Syria","407","31 December 2017[29]","","31 December 2017"
"164","Antigua and Barbuda","389","2018[60]","","2018"
"165","Saint Kitts and Nevis","363","2018[60]","","2018"
"166","Central African Republic","362","2018[60]","","2018"
"167","San Marino","339","2018[60]","","2018"
"168","Guinea-Bissau","332","2015[60][failed verification]","","2015"
"169","Belize","294","2018[60]","","2018"
"170","Saint Lucia","286","2018[60]","","2018"
"171","Tonga","277","2018[60]","","2018"
"172","Eritrea","237","31 December 2017[29]","","31 December 2017"
"173","Grenada","234","2018[60]","","2018"
"174","Togo","215","31 December 2017[29]","","31 December 2017"
"175","Barbados","205","31 December 2017[29]","","31 December 2017"
"176","Yemen","245","31 December 2017[29]","","31 December 2017"
"177","Sudan","178","2017[60]","","2017"
"178","Federated States of Micronesia","204","2017[60]","","2017"
"179","Comoros","199","2018[60]","","2018"
"180","Gambia","192","2018[60]","","2018"
"181","Dominica","191","2018[60]","","2018"
"182","Samoa","170","2018[60]","","2018"
"183","Saint Vincent and the Grenadines","170","2018[60]","","2018"
"184","Senegal","152","31 December 2017[29]","","31 December 2017"
"185","Chad","148","2018[60]","","2018"
"186","Zimbabwe","87","2018[60]","","2018"
"187","South Sudan","68","2016[60]","","2016"
"188","Burundi","68","2018[60]","","2018"
"189","Benin","60","31 December 2017[29]","","31 December 2017"
"190","Montserrat","49","31 December 2017[29]","","31 December 2017"
"191","Burkina Faso","45","31 December 2017[29]","","31 December 2017"
"192","São Tomé and Príncipe","47","2018[60]","","2018"
"193","Somalia","32","30 December 2017[29]","","30 December 2017"
"194","Kiribati","7","31 December 2017[29]","","31 December 2017"
